date,top_5_bing_searches
2021-01-01,"stimulus update today, stimulus check, irs stimulus check, irs get my payment, nys unemployment login"
2021-01-02,"stimulus update today, stimulus check, nys unemployment login, irs stimulus check, stimulus update"
2021-01-03,"nys unemployment login, stimulus update, stimulus update today, stimulus check, irs stimulus tracker"
2021-01-04,"irs stimulus tracker, nys unemployment login, stimulus update, stimulus check, irs get my payment"
2021-01-05,"irs stimulus tracker, stimulus check, irs get my payment, nys unemployment login, irs gov get my payment"
2021-01-06,"irs stimulus tracker, irs get my payment, stimulus check tracker, get my payment, nys unemployment login"
2021-01-07,"irs stimulus tracker, trump twitter, trump news, irs get my payment, get my payment"
2021-01-08,"irs stimulus tracker, trump twitter, trump news, stimulus update, irs get my payment"
2021-01-09,"irs stimulus tracker, trump news, nys unemployment login, irs get my payment, stimulus update"
2021-01-10,"nys unemployment login, irs stimulus tracker, trump news, stimulus update, irs get my payment"
2021-01-11,"irs stimulus tracker, nys unemployment login, walgreens covid vaccine registration, trump news, covid vaccine"
2021-01-12,"irs stimulus tracker, nys covid vaccine signup, trump speech today, walgreens covid vaccine registration, covid vaccine"
2021-01-13,"irs stimulus tracker, nys covid vaccine signup, trump news, kinney drugs, ny gov vaccine"
2021-01-14,"irs stimulus tracker, walgreens covid vaccine registration, nys covid vaccine signup, biden stimulus plan, siegfried and roy"
2021-01-15,"irs stimulus tracker, walgreens covid vaccine registration, nys covid vaccine signup, stimulus update, biden stimulus plan"
2021-01-16,"irs stimulus tracker, trump news, stimulus update, ny gov vaccine, nys unemployment login"
2021-01-17,"nys unemployment login, patrick mahomes, irs stimulus tracker, stimulus update, northwell health"
2021-01-18,"nys unemployment login, irs stimulus tracker, trump news, patrick mahomes, inauguration day 2021"
2021-01-19,"inauguration day 2021, stimulus check, nys unemployment login, patrick mahomes, covid 19 vaccines"
2021-01-20,"inauguration day 2021, amanda gorman, nys unemployment login, irs stimulus tracker, northwell health"
2021-01-21,"amanda gorman, inauguration day 2021, stimulus update, biden executive orders, nys unemployment login"
2021-01-22,"hank aaron death, stimulus update, nys unemployment login, amanda gorman, irs stimulus tracker"
2021-01-23,"stimulus update, nys unemployment login, jojo siwa, n95 masks for sale, irs stimulus tracker"
2021-01-24,"nys unemployment login, stimulus update, jojo siwa, patrick mahomes, northwell health"
2021-01-25,"nys unemployment login, jojo siwa, northwell health, ny gov vaccine, irs stimulus tracker"
2021-01-26,"stimulus update, kellyanne conway, nys unemployment login, northwell health, nys covid vaccine appointments"
2021-01-27,"stimulus update, nys unemployment login, kinney drugs, kellyanne conway, nys covid vaccine appointments"
2021-01-28,"stimulus update, nys unemployment login, kinney drugs, nys covid vaccine appointments, northwell health"
2021-01-29,"stimulus update, nys unemployment login, stimulus check, nys covid vaccine, covid vaccine"
