date,tot_cases,tot_death,administered,additional_doses
2021-01-01,2292568,25802,374497,-1
2021-01-02,2345909,26236,412076,-1
2021-01-03,2391261,26494,433546,-1
2021-01-04,2409703,26480,451702,-1
2021-01-05,2452334,26807,456980,-1
2021-01-06,2482226,27222,486087,-1
2021-01-07,2518611,27811,528173,-1
2021-01-08,2568641,28366,584366,-1
2021-01-09,2621277,28996,650459,-1
2021-01-10,2670962,29496,733292,-1
2021-01-11,2710801,29911,782638,-1
2021-01-12,2747288,30105,816301,-1
2021-01-13,2781039,30685,891489,-1
2021-01-14,2816969,31222,975293,-1
2021-01-15,2859624,31647,1072959,-1
2021-01-16,2900246,32250,1193355,-1
2021-01-17,2942475,32813,1308514,-1
2021-01-18,2973174,33139,1398301,-1
2021-01-19,2996968,33364,1460430,-1
2021-01-20,3019371,33690,1532329,-1
2021-01-21,3039044,34345,1633875,-1
2021-01-22,3062068,35029,1803679,-1
2021-01-23,3085040,35544,2008220,-1
2021-01-24,3109151,36208,2199908,-1
2021-01-25,3136158,36448,2330633,-1
2021-01-26,3153186,36660,2446577,-1
2021-01-27,3169914,37326,2579666,-1
2021-01-28,3186610,38070,2746876,-1
2021-01-29,3205947,38667,2910562,-1
2021-01-30,3224374,39323,3095781,-1
2021-01-31,3243348,39913,3285351,-1
2021-02-01,3258706,40263,3453284,-1
2021-02-02,3270770,40457,3543817,-1
2021-02-03,3281271,41018,3671316,-1
2021-02-04,3294447,41634,3723803,-1
2021-02-05,3308468,42413,3920632,-1
2021-02-06,3320862,43018,4137600,-1
2021-02-07,3335926,43456,4485166,-1
2021-02-08,3346340,43735,4682862,-1
2021-02-09,3354591,43905,4784478,-1
2021-02-10,3362981,44425,4957297,-1
2021-02-11,3371556,44990,5134864,-1
2021-02-12,3381615,45520,5341104,-1
2021-02-13,3391036,45986,5562553,-1
2021-02-14,3399878,46457,5820388,-1
2021-02-15,3406365,46719,6034839,-1
2021-02-16,3412057,46795,6210992,-1
2021-02-17,3416147,47086,6323011,-1
2021-02-18,3421720,47537,6496140,-1
2021-02-19,3428518,47973,6964603,-1
2021-02-20,3435186,48414,7201713,-1
2021-02-21,3441946,48807,7453468,-1
2021-02-22,3446611,49039,7604725,-1
2021-02-23,3450058,49129,7728120,-1
2021-02-24,3455361,49470,7876011,-1
2021-02-25,3460326,50648,8064121,-1
2021-02-26,3465726,51121,8310945,-1
2021-02-27,3470877,51505,8566470,-1
2021-02-28,3475562,51794,8821044,-1
2021-03-01,3479078,52032,9106077,-1
2021-03-02,3481611,52129,9497125,-1
2021-03-03,3484963,52429,9731169,-1
2021-03-04,3488467,52823,9860209,-1
2021-03-05,3493126,53194,10071476,-1
2021-03-06,3497578,53464,10415023,-1
2021-03-07,3501394,53722,10634752,-1
2021-03-08,3504652,53828,10805474,-1
2021-03-09,3507266,53878,10925581,-1
2021-03-10,3513678,54320,11062505,-1
2021-03-11,3516862,54590,11220508,-1
2021-03-12,3520333,54878,11428034,-1
2021-03-13,3523563,55095,11881857,-1
2021-03-14,3526335,55235,11883375,-1
2021-03-15,3528795,55330,12306608,-1
2021-03-16,3530055,55372,12686451,-1
2021-03-17,3532496,55577,13161027,-1
2021-03-18,3535534,55795,13563094,-1
2021-03-19,3538821,56027,13882984,-1
2021-03-20,3541928,56072,14276125,-1
2021-03-21,3545278,56118,14708175,-1
2021-03-22,3547278,56545,15050673,-1
2021-03-23,3549101,56596,15349039,-1
2021-03-24,3551056,56850,15691888,-1
2021-03-25,3553307,57091,16062266,-1
2021-03-26,3555915,57336,16527440,-1
2021-03-27,3559193,57551,16944916,-1
2021-03-28,3562191,57746,17335016,-1
2021-03-29,3564468,57778,17703550,-1
2021-03-30,3566464,57788,17922092,-1
2021-03-31,3568426,57936,18223412,-1
2021-04-01,3570660,58090,18604164,-1
2021-04-02,3573074,58269,18985902,-1
2021-04-03,3577951,58404,19449616,-1
2021-04-04,3580351,58513,19962420,-1
2021-04-05,3582463,58534,20309146,-1
2021-04-06,3583830,58541,20485652,-1
2021-04-07,3586059,58659,20865892,-1
2021-04-08,3588152,58788,21243518,-1
2021-04-09,3590758,58943,21725654,-1
2021-04-10,3595224,59113,22281620,-1
2021-04-11,3600178,59218,22754164,-1
2021-04-12,3602827,59249,23031056,-1
2021-04-13,3604395,59258,23227200,-1
2021-04-14,3606882,59372,23721226,-1
2021-04-15,3608898,59508,24242204,-1
2021-04-16,3611349,59587,25047682,-1
2021-04-17,3614112,59690,25569748,-1
2021-04-18,3616779,59768,26092008,-1
2021-04-19,3618695,59772,26435308,-1
2021-04-20,3620301,59804,26689222,-1
2021-04-21,3622427,59890,27013516,-1
2021-04-22,3624838,59992,27384986,-1
2021-04-23,3626656,60086,27727112,-1
2021-04-24,3627885,60135,28302062,-1
2021-04-25,3629624,60188,28798648,-1
2021-04-26,3631740,60203,29151064,-1
2021-04-27,3633185,60208,29372924,-1
2021-04-28,3634778,60273,29640092,-1
2021-04-29,3636235,60362,29957450,-1
2021-04-30,3638132,60467,30223492,-1
2021-05-01,3640226,60625,30820836,-1
2021-05-02,3642480,60748,31185032,-1
2021-05-03,3643992,60763,31382140,-1
2021-05-04,3645341,60765,31468936,-1
2021-05-05,3646729,60862,31670888,-1
2021-05-06,3648276,60927,31997304,-1
2021-05-07,3650747,61027,32367810,-1
2021-05-08,3652692,61167,32759884,-1
2021-05-09,3654545,61228,33109680,-1
2021-05-10,3655922,61241,33438134,-1
2021-05-11,3656967,61246,33632768,-1
2021-05-12,3658198,61305,33817288,-1
2021-05-13,3659641,61351,34085596,-1
2021-05-14,3661675,61417,34319952,-1
2021-05-15,3663539,61444,34715312,-1
2021-05-16,3664909,61499,35114880,-1
2021-05-17,3665904,61510,35341736,-1
2021-05-18,3666591,61513,35518036,-1
2021-05-19,3667550,61555,35767716,-1
2021-05-20,3668842,61603,36053888,-1
2021-05-21,3670469,61672,36377960,-1
2021-05-22,3671655,61722,36714360,-1
2021-05-23,3672963,61755,37048040,-1
2021-05-24,3674044,61762,37218236,-1
2021-05-25,3674662,61770,37325780,-1
2021-05-26,3675817,61824,37480672,-1
2021-05-27,3677235,61855,37669020,-1
2021-05-28,3682099,62025,37874432,-1
2021-05-29,3683309,61999,38066784,-1
2021-05-30,3684388,62006,38261504,-1
2021-05-31,3685032,62011,38398020,-1
2021-06-01,3685455,62021,38472728,-1
2021-06-02,3685916,62044,38517344,-1
2021-06-03,3686689,62092,38637248,-1
2021-06-04,3687736,62179,38825788,-1
2021-06-05,3688893,62242,39130664,-1
2021-06-06,3689994,62470,39350624,-1
2021-06-07,3690868,62473,39541180,-1
2021-06-08,3691660,62479,39633256,-1
2021-06-09,3692506,62499,39764396,-1
2021-06-10,3693362,62538,39765872,-1
2021-06-11,3694498,62593,39959104,-1
2021-06-12,3695530,62508,40236460,-1
2021-06-13,3696472,62512,40402144,-1
2021-06-14,3697299,62505,40539772,-1
2021-06-15,3697927,62515,40669792,-1
2021-06-16,3698626,62534,40901004,-1
2021-06-17,3699455,62565,41042424,-1
2021-06-18,3700750,62622,41189876,-1
2021-06-19,3701926,62654,41346144,-1
2021-06-20,3702882,62689,41478632,-1
2021-06-21,3704005,62693,41584952,-1
2021-06-22,3704640,62701,41639568,-1
2021-06-23,3705427,62741,41735332,-1
2021-06-24,3706846,62822,41839888,-1
2021-06-25,3708861,62890,41985072,-1
2021-06-26,3710544,62945,42103168,-1
2021-06-27,3712795,62990,42312076,-1
2021-06-28,3714051,62994,42436028,-1
2021-06-29,3714813,62999,42513548,-1
2021-06-30,3710454,63023,42644084,-1
